date,size,month
6/10/2017,1.692070313,0
7/10/2017,2.548105469,0
8/10/2017,1.689882813,0
9/10/2017,3.352949219,0
10/10/2017,4.690390625,0
11/10/2017,19.53045898,0
12/10/2017,163.6107031,0
13/10/2017,3.426279297,0
14/10/2017,0.739707031,0
15/10/2017,0.956962891,0
16/10/2017,3.425527344,0
17/10/2017,4.100019531,0
18/10/2017,33.92864258,0
19/10/2017,31.90729492,0
20/10/2017,5.358945313,0
21/10/2017,0.713974609,0
22/10/2017,28.32097656,0
23/10/2017,16.69795898,0
24/10/2017,12.23883789,0
25/10/2017,3.084384766,0
26/10/2017,2.055947266,0
27/10/2017,50.20327148,0
28/10/2017,52.88996094,0
29/10/2017,40.23380859,0
30/10/2017,2.041210938,0
31/10/2017,2.556181641,563.4297559
1/11/2017,11.82492188,0
2/11/2017,3.111845703,0
3/11/2017,5.411816406,0
4/11/2017,0.799746094,0
5/11/2017,1.816621094,0
6/11/2017,7.549775391,0
7/11/2017,28.13149414,0
8/11/2017,4.454335938,0
9/11/2017,8.18796875,0
10/11/2017,431.8197852,0
11/11/2017,89.40460938,0
12/11/2017,1.006396484,0
13/11/2017,19.1928418,0
14/11/2017,9.389609375,0
15/11/2017,258.3113477,0
16/11/2017,11.91258789,0
17/11/2017,3.140693359,0
18/11/2017,2.346552734,0
19/11/2017,15.09891602,0
20/11/2017,7.113886719,0
21/11/2017,6.828505859,0
22/11/2017,3.370673828,0
23/11/2017,3.925722656,0
24/11/2017,2.452294922,0
25/11/2017,0.771240234,0
26/11/2017,1.266816406,0
27/11/2017,2.712685547,0
28/11/2017,3.706201172,0
29/11/2017,3.939628906,0
30/11/2017,5.07015625,954.0696777
1/12/2017,1.646308594,0
2/12/2017,0.752402344,0
3/12/2017,28.34893555,0
4/12/2017,20.26568359,0
5/12/2017,5.236162109,0
6/12/2017,3.426044922,0
7/12/2017,3.776845703,0
8/12/2017,1.395078125,0
9/12/2017,0.769335938,0
10/12/2017,6.246972656,0
11/12/2017,133.0072266,0
12/12/2017,2.338251953,0
13/12/2017,24.53078125,0
14/12/2017,1.598408203,0
15/12/2017,2.678339844,0
16/12/2017,4.177265625,0
17/12/2017,2.171054688,0
18/12/2017,3.546142578,0
19/12/2017,9.037734375,0
20/12/2017,3.677382813,0
21/12/2017,2.533457031,0
22/12/2017,2.165224609,0
23/12/2017,0.725878906,0
24/12/2017,0.820488281,0
25/12/2017,0.763173828,0
26/12/2017,0.793544922,0
27/12/2017,0.772890625,0
28/12/2017,0.7915625,0
29/12/2017,0.794804688,0
30/12/2017,0.731748047,0
31/12/2017,0.770205078,270.2893359
1/01/2018,1.960078125,0
2/01/2018,2.718183594,0
3/01/2018,4.630585938,0
4/01/2018,5.797695313,0
5/01/2018,4.328974609,0
6/01/2018,0.747148438,0
7/01/2018,18.68817383,0
8/01/2018,0,0
9/01/2018,0,0
10/01/2018,105.3328906,0
11/01/2018,12.57541016,0
12/01/2018,4.822646484,0
13/01/2018,0.782539063,0
14/01/2018,2.097041016,0
15/01/2018,34.69507813,0
16/01/2018,3.430351563,0
17/01/2018,4.484160156,0
18/01/2018,3.502695313,0
19/01/2018,5.676074219,0
20/01/2018,3.285410156,0
21/01/2018,1.646572266,0
22/01/2018,8.478066406,0
23/01/2018,3.285859375,0
24/01/2018,22.90726563,0
25/01/2018,3.6890625,0
26/01/2018,0.738515625,0
27/01/2018,0.766142578,0
28/01/2018,1.570791016,0
29/01/2018,9.285527344,0
30/01/2018,3.599804688,0
31/01/2018,3.081015625,278.6037598
1/02/2018,25.45874023,0
2/02/2018,1.900908203,0
3/02/2018,0.772128906,0
4/02/2018,5.984970703,0
5/02/2018,5.118583984,0
6/02/2018,41.2518457,0
7/02/2018,30.25478516,0
8/02/2018,4.539716797,0
9/02/2018,2.553466797,0
10/02/2018,0.797763672,0
11/02/2018,1.329267578,0
12/02/2018,8.857011719,0
13/02/2018,2.0625,0
14/02/2018,2.27421875,0
15/02/2018,4.386005859,0
16/02/2018,81.65619141,0
17/02/2018,4.49125,0
18/02/2018,1.803681641,0
19/02/2018,4.776113281,0
20/02/2018,3.105136719,0
21/02/2018,5.686103516,0
22/02/2018,4.472246094,0
23/02/2018,2.451787109,0
24/02/2018,0.75734375,0
25/02/2018,3.93171875,0
26/02/2018,8.108046875,0
27/02/2018,6.835166016,0
28/02/2018,3.613554688,269.2302539
1/03/2018,3.171601563,0
2/03/2018,4.33640625,0
3/03/2018,0.763056641,0
4/03/2018,2.340048828,0
5/03/2018,9.857734375,0
6/03/2018,4.699863281,0
7/03/2018,16.08633789,0
8/03/2018,183.2309277,0
9/03/2018,1.574550781,0
10/03/2018,0.783681641,0
11/03/2018,1.981894531,0
12/03/2018,11.47634766,0
13/03/2018,37.30584961,0
14/03/2018,93.82611328,0
15/03/2018,55.61938477,0
16/03/2018,6.08921875,0
17/03/2018,0.836728516,0
18/03/2018,1.575117188,0
19/03/2018,3.201748047,0
20/03/2018,6.596962891,0
21/03/2018,14.51033203,0
22/03/2018,2.701230469,0
23/03/2018,5.110009766,0
24/03/2018,0.970341797,0
25/03/2018,21.78902344,0
26/03/2018,9.464111328,0
27/03/2018,6.009042969,0
28/03/2018,10.85316406,0
29/03/2018,6.714619141,0
30/03/2018,0.9784375,0
31/03/2018,0.944130859,525.3980176
1/04/2018,0.995498047,0
2/04/2018,2.015224609,0
3/04/2018,11.4262207,0
4/04/2018,6.008183594,0
5/04/2018,7.164863281,0
6/04/2018,5.072783203,0
7/04/2018,0.725976563,0
8/04/2018,2.809521484,0
9/04/2018,5.901552734,0
10/04/2018,10.54263672,0
11/04/2018,6.962021484,0
12/04/2018,7.572705078,0
13/04/2018,8.182480469,0
14/04/2018,0.794277344,0
15/04/2018,1.774267578,0
16/04/2018,8.286708984,0
17/04/2018,9.795732422,0
18/04/2018,5.793652344,0
19/04/2018,6.822558594,0
20/04/2018,2.915898438,0
21/04/2018,0.542597656,0
22/04/2018,2.662841797,0
23/04/2018,3.501210938,0
24/04/2018,17.48047852,0
25/04/2018,3.918505859,0
26/04/2018,6.963525391,0
27/04/2018,6.165478516,0
28/04/2018,3.778935547,0
29/04/2018,1.65375,0
30/04/2018,4.232148438,162.4622363
1/05/2018,7.962099609,0
2/05/2018,5.205390625,0
3/05/2018,8.1803125,0
4/05/2018,4.922744141,0
5/05/2018,1.647324219,0
6/05/2018,2.468505859,0
7/05/2018,10.97466797,0
8/05/2018,41.73984375,0
9/05/2018,16.47935547,0
10/05/2018,7.657080078,0
11/05/2018,5.8678125,0
12/05/2018,1.062900391,0
13/05/2018,24.38464844,0
14/05/2018,14.63561523,0
15/05/2018,9.981347656,0
16/05/2018,12.8924707,0
17/05/2018,30.6752832,0
18/05/2018,5.581650391,0
19/05/2018,0.529931641,0
20/05/2018,1.524716797,0
21/05/2018,17.04271484,0
22/05/2018,9.808095703,0
23/05/2018,45.87821289,0
24/05/2018,10.96719727,0
25/05/2018,21.36273438,0
26/05/2018,7.892763672,0
27/05/2018,7.496289063,0
28/05/2018,17.1002832,0
29/05/2018,8.903378906,0
30/05/2018,54.80169922,0
31/05/2018,7.362080078,422.9891504
1/06/2018,6.313388672,0
2/06/2018,1.035722656,0
3/06/2018,6.408173828,0
4/06/2018,51.85825195,0
5/06/2018,3.259443359,0
6/06/2018,8.800371094,0
7/06/2018,23.22348633,0
8/06/2018,8.096933594,0
9/06/2018,6.374277344,0
10/06/2018,6.223974609,0
11/06/2018,9.809433594,0
12/06/2018,10.10074219,0
13/06/2018,70.9990332,0
14/06/2018,110.0725488,0
15/06/2018,4.894511719,0
16/06/2018,2.572148438,0
17/06/2018,27.91498047,0
18/06/2018,55.1093457,0
19/06/2018,49.09898438,0
20/06/2018,7.667539063,0
21/06/2018,12.12953125,0
22/06/2018,27.96931641,0
23/06/2018,3.207939453,0
24/06/2018,12.97321289,0
25/06/2018,18.23683594,0
26/06/2018,31.37426758,0
27/06/2018,68.54847656,0
28/06/2018,18.48212891,0
